Build No.,CPU,Motherboard,RAM,GPU,PSU
207,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
208,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
209,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR4-3200,RTX 4070 Ti,750 W
210,Intel Core i7-13700KF,Z690,32 GB (2 x 16 GB) DDR4-3200,RTX 4080,750 W
211,Intel Core i5-13600KF,B760M,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,750 W
212,AMD Ryzen 9 7950X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
213,AMD Ryzen 7 7700X,X670E-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
214,Intel Core i5-13600KF,B760-A,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,850 W
215,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
216,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
217,AMD Ryzen 5 5600X,B550M-VC,32 GB (2 x 16 GB) DDR4-3200,RTX 4060,650 W
218,AMD Ryzen 7 7700X,B650E-E,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,850 W
219,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
220,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
221,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,650 W
222,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
223,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
224,Intel Core i7-13700KF,Z690-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
225,AMD Ryzen 9 7950X,X670E-E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1300 W
226,Intel Core i7-13700KF,Z790I,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
227,AMD Ryzen 5 5600X,B450-F,32 GB (2 x 16 GB) DDR4-3200,RTX 4070,750 W
228,AMD Ryzen 7 7700X,B650M-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
229,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
230,AMD Ryzen 9 7900X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
231,Intel Core i7-13700KF,Z690,16 GB (2 x 8 GB) DDR4-4000,RTX 4090,1000 W
232,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
233,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
234,AMD Ryzen 5 5600,B550,32 GB (2 x 16 GB) DDR4-3200,RTX 4070 Ti,750 W
235,Intel Core i5-13600KF,Z790I,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
236,AMD Ryzen 7 7700X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
237,AMD Ryzen 9 7950X,X670E-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,750 W
238,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
239,Intel Core i7-13700KF,Z790-A,64 GB (2 x 32 GB) DDR4-3600,RTX 4090,1200 W
240,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
241,Intel Core i5-13600KF,B760-I,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
242,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
243,AMD Ryzen 9 7900X,X670E-A,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,1000 W
244,Intel Core i5-13600KF,Z790I,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
